city,lng,iso2,population
Tokyo,139.6922,JP,37732000
Jakarta,106.8275,ID,33756000
Delhi,77.23,IN,32226000
Guangzhou,113.26,CN,26940000
Mumbai,72.8775,IN,24973000
Manila,120.9772,PH,24922000
Shanghai,121.4747,CN,24073000
São Paulo,-46.6333,BR,23086000
Seoul,126.99,KR,23016000
Mexico City,-99.1333,MX,21804000
Cairo,31.2358,EG,20296000
New York,-73.9249,US,18908608
Dhaka,90.3889,BD,18627000
Beijing,116.3975,CN,18522000
Kolkāta,88.37,IN,18502000
Bangkok,100.4942,TH,18007000
Shenzhen,114.0596,CN,17619000
Moscow,37.6172,RU,17332000
Buenos Aires,-58.3817,AR,16710000
Lagos,3.3841,NG,16637000
Istanbul,28.955,TR,16079000
Karachi,67.01,PK,15738000
Bangalore,77.5917,IN,15386000
Ho Chi Minh City,106.7019,VN,15136000
Ōsaka,135.5022,JP,15126000
Chengdu,104.0633,CN,14645000
Tehran,51.3889,IR,14148000
Kinshasa,15.3119,CD,12836000
Rio de Janeiro,-43.2056,BR,12592000
Chennai,80.275,IN,12395000
Xi’an,108.9422,CN,12328000
Lahore,74.3436,PK,12306000
Chongqing,106.5504,CN,12135000
Los Angeles,-118.4068,US,11922389
Baoding,115.464,CN,11544036
London,-0.1275,GB,11262000
Paris,2.3522,FR,11060000
Linyi,118.3564,CN,11018365
Dongguan,113.752,CN,10646000
Hyderābād,78.4747,IN,10494000
Tianjin,117.2054,CN,10368000
Lima,-77.0375,PE,10320000
Wuhan,114.3046,CN,10251000
Nanyang,112.5292,CN,9713112
Hangzhou,120.153,CN,9523000
Foshan,113.1216,CN,9498863
Nagoya,136.9,JP,9197000
Tongshan,117.284,CN,9083790
Luanda,13.2344,AO,9051000
Zhoukou,114.6418,CN,9026015
Ganzhou,114.933,CN,8970014
Kuala Lumpur,101.6953,MY,8911000
Heze,115.4796,CN,8795939
Quanzhou,118.6757,CN,8782285
Johannesburg,28.0456,ZA,8500000
Chicago,-87.6866,US,8497759
Nanjing,118.7789,CN,8422000
Jining,116.5871,CN,8357897
Hanoi,105.85,VN,8246600
Pune,73.8567,IN,8231000
Fuyang,115.814,CN,8200264
Ahmedabad,72.5714,IN,8009000
Bogotá,-74.0722,CO,7968095
Shenyang,123.4281,CN,7964000
Dar es Salaam,39.2803,TZ,7962000
Khartoum,32.5,SD,7869000
Shangqiu,115.656,CN,7816831
Hong Kong,114.2,HK,7450000
Cangzhou,116.8387,CN,7300783
